name,url,img,price,quantity,unitPrice,servingSize,kilojoules,protein,fat,fatSaturated,carb,sugar,sodium
Tuna In Vegetable Oil,https://www.coles.com.au/product/coles-tuna-in-vegetable-oil-425g-5905013,https://productimages.coles.com.au/productimages/5/5905013.jpg,3.5,0.425,8.24,0.069,667.35,24.9,6.55,1.2,0.1,,400
Ramyun Noodle Soup 5 Pack,https://www.coles.com.au/product/nongshim-ramyun-noodle-soup-5-pack-600g-3581293,https://productimages.coles.com.au/productimages/3/3581293.jpg,5,0.6,8.3,0.12,1178,8.2,13,6.1,68,3,1530
Kimchi Ramyun Noodle Soup 5 Pack,https://www.coles.com.au/product/nongshim-kimchi-ramyun-noodle-soup-5-pack-600g-3992833,https://productimages.coles.com.au/productimages/3/3992833.jpg,5,0.6,8.3,,,,,,,,
Fusian Noodles Vietnamese Beef Lemongrass 5 Pack,https://www.coles.com.au/product/maggi-fusian-noodles-vietnamese-beef-lemongrass-5-pack-325g-5869849,https://productimages.coles.com.au/productimages/5/5869849.jpg,5.5,0.325,16.9,0.38,330,1.6,3.2,1.5,11,1,240
Microwaveable Soup Bowl Chicken Noodle Soup,https://www.coles.com.au/product/la-zuppa-microwaveable-soup-bowl-chicken-noodle-soup-420g-1727445,https://productimages.coles.com.au/productimages/1/1727445.jpg,3.6,0.42,8.6,0.42,92,1.5,1,1,2.6,1,292
Microwaveable Soup Bowl Minestrone Soup,https://www.coles.com.au/product/la-zuppa-microwaveable-soup-bowl-minestrone-soup-420g-6299520,https://productimages.coles.com.au/productimages/6/6299520.jpg,3.6,0.42,8.6,0.42,148,1.6,1,1,5.8,2.3,377
Microwaveable Soup Bowl Pumpkin Soup,https://www.coles.com.au/product/la-zuppa-microwaveable-soup-bowl-pumpkin-soup-420g-6299542,https://productimages.coles.com.au/productimages/6/6299542.jpg,3.6,0.42,8.6,0.42,128,0.9,1,1,5.5,2.6,215
Microwaveable Soup Bowl Hearty Chicken & Vegetable Soup,https://www.coles.com.au/product/la-zuppa-microwaveable-soup-bowl-hearty-chicken-and-vegetable-soup-420g-8026370,https://productimages.coles.com.au/productimages/8/8026370.jpg,3.6,0.42,8.6,0.42,162,2.4,1,1,6,1.1,274
Sauerkraut,https://www.coles.com.au/product/edgell-sauerkraut-410g-132442,https://productimages.coles.com.au/productimages/1/132442.jpg,3.6,0.41,8.78,0.102,84,0.8,0.2,0.1,2.1,0.7,625
Carnation Full Cream Evaporated Milk,https://www.coles.com.au/product/nestle-carnation-full-cream-evaporated-milk-340ml-3964496,https://productimages.coles.com.au/productimages/3/3964496.jpg,3,0.34,8.82,0.1,595,6.5,8,5,11,11,125
